Input,Ball's Mass,Launcher's Angle,Spring Pulled Length,Spring Constant ,Result,time, velocity, maximum height

 ,24.0,45.0,3.0,555.0,,0.82,4.98,1.03

 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07

 ,24.0,30.0,3.0,580.0,,0.68,5.46,0.78

 ,24.0,70.0,3.0,300.0,,0.56,2.14,0.61

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,620.0,,0.87,5.39,1.14

 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07

 ,24.0,45.0,3.0,999.0,,1.13,7.33,1.77

 ,24.0,45.0,3.0,999.0,,1.13,7.33,1.77

 ,24.0,45.0,3.0,999.0,,1.13,7.33,1.77

 ,24.0,45.0,3.0,999.0,,1.13,7.33,1.77

 ,24.0,45.0,4.0,240.0,,0.69,3.93,0.79

 ,24.0,45.0,4.0,240.0,,0.69,3.93,0.79

 ,24.0,45.0,4.0,240.0,,0.69,3.93,0.79

 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07

 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,45.0,3.0,580.0,,0.84,5.14,1.07
 ,24.0,30.0,3.0,620.0,,0.7,5.69,0.81
